


As of:;Nov 07, 2024


Effective date ;S&P 500 (TR)
16/08/2016;4129.68
17/08/2016;4138.42
18/08/2016;4147.64
19/08/2016;4142.23
22/08/2016;4139.97
23/08/2016;4148.16
24/08/2016;4126.65
25/08/2016;4121.09
26/08/2016;4114.68
29/08/2016;4136.75
30/08/2016;4129.34
31/08/2016;4120.29
01/09/2016;4120.17
02/09/2016;4137.7
06/09/2016;4150.11
07/09/2016;4150.51
08/09/2016;4141.46
09/09/2016;4039.95
12/09/2016;4099.47
13/09/2016;4039.92
14/09/2016;4037.83
15/09/2016;4079.32
16/09/2016;4063.97
19/09/2016;4063.94
20/09/2016;4065.2
21/09/2016;4109.63
22/09/2016;4136.41
23/09/2016;4112.69
26/09/2016;4077.71
27/09/2016;4104.18
28/09/2016;4126.83
29/09/2016;4088.47
30/09/2016;4121.06
03/10/2016;4108.13
04/10/2016;4088.17
05/10/2016;4107.4
06/10/2016;4109.49
07/10/2016;4096.25
10/10/2016;4115.12
11/10/2016;4063.92
12/10/2016;4068.92
13/10/2016;4056.45
14/10/2016;4057.28
17/10/2016;4045.07
18/10/2016;4069.99
19/10/2016;4079.5
20/10/2016;4074.18
21/10/2016;4073.85
24/10/2016;4093.22
25/10/2016;4077.8
26/10/2016;4070.76
27/10/2016;4058.75
28/10/2016;4046.36
31/10/2016;4045.89
01/11/2016;4018.47
02/11/2016;3992.76
03/11/2016;3976.56
04/11/2016;3970.02
07/11/2016;4058.3
08/11/2016;4075.61
09/11/2016;4121.03
10/11/2016;4129.46
11/11/2016;4123.69
14/11/2016;4123.81
15/11/2016;4155.62
16/11/2016;4150.21
17/11/2016;4169.87
18/11/2016;4160.58
21/11/2016;4191.68
22/11/2016;4200.95
23/11/2016;4204.49
25/11/2016;4221.02
28/11/2016;4199.39
29/11/2016;4205.99
30/11/2016;4195.73
01/12/2016;4181.15
02/12/2016;4182.81
05/12/2016;4207.57
06/12/2016;4222.04
07/12/2016;4278.44
08/12/2016;4288.1
09/12/2016;4313.61
12/12/2016;4308.94
13/12/2016;4337.86
14/12/2016;4302.93
15/12/2016;4319.84
16/12/2016;4312.4
19/12/2016;4321.02
20/12/2016;4337.36
21/12/2016;4326.85
22/12/2016;4319.33
23/12/2016;4325.17
27/12/2016;4334.93
28/12/2016;4299.45
29/12/2016;4298.39
30/12/2016;4278.66
03/01/2017;4315.08
04/01/2017;4340.75
05/01/2017;4337.45
06/01/2017;4354.05
09/01/2017;4338.62
10/01/2017;4338.64
11/01/2017;4351.32
12/01/2017;4342.09
13/01/2017;4350.11
17/01/2017;4337.2
18/01/2017;4345.57
19/01/2017;4329.96
20/01/2017;4344.67
23/01/2017;4333.1
24/01/2017;4361.56
25/01/2017;4396.57
26/01/2017;4393.43
27/01/2017;4389.85
30/01/2017;4363.67
31/01/2017;4359.81
01/02/2017;4362.1
02/02/2017;4364.85
03/02/2017;4396.95
06/02/2017;4387.67
07/02/2017;4388.87
08/02/2017;4393.31
09/02/2017;4419.4
10/02/2017;4435.42
13/02/2017;4459.83
14/02/2017;4478.98
15/02/2017;4501.99
16/02/2017;4498.56
17/02/2017;4506.2
21/02/2017;4533.46
22/02/2017;4528.97
23/02/2017;4531.39
24/02/2017;4539.25
27/02/2017;4544.51
28/02/2017;4532.93
01/03/2017;4595.73
02/03/2017;4569.17
03/03/2017;4571.6
06/03/2017;4556.72
07/03/2017;4543.75
08/03/2017;4534.68
09/03/2017;4538.36
10/03/2017;4553.28
13/03/2017;4556.44
14/03/2017;4541.26
15/03/2017;4579.44
16/03/2017;4572.16
17/03/2017;4566.17
20/03/2017;4557.12
21/03/2017;4500.98
22/03/2017;4509.65
23/03/2017;4504.92
24/03/2017;4501.11
27/03/2017;4496.53
28/03/2017;4529.17
29/03/2017;4535.01
30/03/2017;4548.46
31/03/2017;4538.21
03/04/2017;4530.98
04/04/2017;4534.25
05/04/2017;4520.86
06/04/2017;4530.93
07/04/2017;4527.2
10/04/2017;4530.57
11/04/2017;4524.71
12/04/2017;4507.76
13/04/2017;4477.07
17/04/2017;4515.65
18/04/2017;4502.66
19/04/2017;4495.56
20/04/2017;4529.65
21/04/2017;4515.9
24/04/2017;4564.93
25/04/2017;4592.74
26/04/2017;4590.56
27/04/2017;4593.57
28/04/2017;4584.82
01/05/2017;4592.78
02/05/2017;4598.24
03/05/2017;4593.32
04/05/2017;4596.24
05/05/2017;4615.09
08/05/2017;4615.73
09/05/2017;4611.21
10/05/2017;4618.19
11/05/2017;4609.69
12/05/2017;4602.96
15/05/2017;4625.51
16/05/2017;4623.26
17/05/2017;4540.58
18/05/2017;4557.41
19/05/2017;4588.35
22/05/2017;4612.12
23/05/2017;4620.7
24/05/2017;4632.37
25/05/2017;4653.59
26/05/2017;4655.65
30/05/2017;4650.76
31/05/2017;4649.34
01/06/2017;4685.11
02/06/2017;4702.56
05/06/2017;4697
06/06/2017;4683.96
07/06/2017;4692.29
08/06/2017;4693.67
09/06/2017;4689.79
12/06/2017;4685.54
13/06/2017;4707.88
14/06/2017;4703.53
15/06/2017;4693.86
16/06/2017;4695.23
19/06/2017;4734.48
20/06/2017;4702.82
21/06/2017;4700.5
22/06/2017;4698.4
23/06/2017;4705.73
26/06/2017;4707.27
27/06/2017;4669.27
28/06/2017;4711.33
29/06/2017;4670.96
30/06/2017;4678.36
03/07/2017;4689.61
05/07/2017;4697.34
06/07/2017;4655.02
07/07/2017;4684.88
10/07/2017;4689.25
11/07/2017;4685.64
12/07/2017;4720.28
13/07/2017;4729.25
14/07/2017;4751.43
17/07/2017;4751.33
18/07/2017;4754.27
19/07/2017;4780.25
20/07/2017;4779.84
21/07/2017;4778.07
24/07/2017;4773.1
25/07/2017;4787.04
26/07/2017;4788.41
27/07/2017;4784.26
28/07/2017;4778.02
31/07/2017;4774.56
01/08/2017;4786.27
02/08/2017;4789.54
03/08/2017;4779.99
04/08/2017;4789.11
07/08/2017;4797.13
08/08/2017;4786.12
09/08/2017;4784.94
10/08/2017;4717.4
11/08/2017;4723.73
14/08/2017;4771.43
15/08/2017;4770.15
16/08/2017;4778.28
17/08/2017;4704.73
18/08/2017;4696.22
21/08/2017;4701.82
22/08/2017;4748.73
23/08/2017;4732.76
24/08/2017;4723.03
25/08/2017;4731.46
28/08/2017;4733.97
29/08/2017;4738.62
30/08/2017;4761.72
31/08/2017;4789.18
01/09/2017;4798.99
05/09/2017;4762.75
06/09/2017;4777.69
07/09/2017;4777.93
08/09/2017;4771.02
11/09/2017;4822.8
12/09/2017;4839.31
13/09/2017;4843.04
14/09/2017;4839.29
15/09/2017;4848.84
18/09/2017;4856.08
19/09/2017;4861.52
20/09/2017;4864.61
21/09/2017;4849.95
22/09/2017;4853.2
25/09/2017;4842.41
26/09/2017;4843.14
27/09/2017;4862.93
